cod_munic;munic;pop_munic;mes;ano
3300936;Carapebus;11444;12;2006
3301157;Cardoso Moreira;12598;12;2006
3301207;Carmo;16633;12;2006
3301306;Casimiro de Abreu;29910;12;2006
3300951;Comendador Levy Gasparian;8087;12;2006
3301405;Conceição de Macabu;20307;12;2006
3301504;Cordeiro;19755;12;2006
3301603;Duas Barras;10713;12;2006
3301702;Duque de Caxias;825645;12;2006
3301801;Engenheiro Paulo de Frontin;12842;12;2006
3301850;Guapimirim;46162;12;2006
3301876;Iguaba Grande;19700;12;2006
3301900;Itaboraí;206544;12;2006
3302007;Itaguaí;98500;12;2006
3302056;Italva;13529;12;2006
3302106;Itaocara;22936;12;2006
3302205;Itaperuna;92469;12;2006
3302254;Itatiaia;27264;12;2006
3302270;Japeri;90925;12;2006
3302304;Laje do Muriaé;7636;12;2006
3302403;Macaé;176318;12;2006
3302452;Macuco;5128;12;2006
3302502;Magé;219378;12;2006
3302601;Mangaratiba;31810;12;2006
3302700;Maricá;106323;12;2006
3302809;Mendes;17701;12;2006
3302858;Mesquita;168256;12;2006
3302908;Miguel Pereira;24374;12;2006
3303005;Miracema;26922;12;2006
3303104;Natividade;15097;12;2006
3303203;Nilópolis;156084;12;2006
3303302;Niterói;477300;12;2006
3303401;Nova Friburgo;178930;12;2006
3303500;Nova Iguaçu;784870;12;2006
3303609;Paracambi;44626;12;2006
3303708;Paraíba do Sul;39728;12;2006
3303807;Paraty;34452;12;2006
3303856;Paty do Alferes;25838;12;2006
3303906;Petrópolis;292522;12;2006
3303955;Pinheiral;21502;12;2006
3304003;Piraí;24727;12;2006
3304102;Porciúncula;17090;12;2006
3304110;Porto Real;14818;12;2006
3304128;Quatis;12012;12;2006
3304144;Queimados;132017;12;2006
3304151;Quissamã;17593;12;2006
3304201;Resende;114080;12;2006
3304300;Rio Bonito;53377;12;2006
3304409;Rio Claro;16986;12;2006
3304508;Rio das Flores;8213;12;2006
3304524;Rio das Ostras;72304;12;2006
3304557;Rio de Janeiro;6150714;12;2006
3304607;Santa Maria Madalena;10376;12;2006
3304706;Santo Antônio de Pádua;39899;12;2006
3304805;São Fidélis;37271;12;2006
3304755;São Francisco de Itabapoana;41279;12;2006
3304904;São Gonçalo;959391;12;2006
3305000;São João da Barra;30835;12;2006
3305109;São João de Meriti;455356;12;2006
3305133;São José de Ubá;6786;12;2006
3305158;São José do Vale do Rio Preto;19897;12;2006
3305208;São Pedro da Aldeia;78114;12;2006
3305307;São Sebastião do Alto;8715;12;2006
3305406;Sapucaia;17392;12;2006
3305505;Saquarema;65566;12;2006
3305554;Seropédica;73288;12;2006
3305604;Silva Jardim;21319;12;2006
3305703;Sumidouro;14636;12;2006
3305752;Tanguá;28969;12;2006
3305802;Teresópolis;154051;12;2006
3305901;Trajano de Moraes;10198;12;2006
3306008;Três Rios;75432;12;2006
3306107;Valença;69809;12;2006
3306156;Varre-Sai;8859;12;2006
3306206;Vassouras;33319;12;2006
3306305;Volta Redonda;252050;12;2006
3300100;Angra dos Reis;149920;1;2007
3300159;Aperibé;9385;1;2007
3300209;Araruama;100791;1;2007
3300225;Areal;10865;1;2007
3300233;Armação dos Búzios;23846;1;2007
3300258;Arraial do Cabo;26308;1;2007
3300308;Barra do Piraí;92534;1;2007
3300407;Barra Mansa;175310;1;2007
3300456;Belford Roxo;456831;1;2007
3300506;Bom Jardim;24361;1;2007
3300605;Bom Jesus do Itabapoana;34786;1;2007
3300704;Cabo Frio;162855;1;2007
3300803;Cachoeiras de Macacu;52196;1;2007
3300902;Cambuci;14772;1;2007
3301009;Campos dos Goytacazes;443041;1;2007
3301108;Cantagalo;19832;1;2007
3300936;Carapebus;11486;1;2007
3301157;Cardoso Moreira;12598;1;2007
3301207;Carmo;16652;1;2007
3301306;Casimiro de Abreu;30029;1;2007
3300951;Comendador Levy Gasparian;8089;1;2007
3301405;Conceição de Macabu;20328;1;2007
3301504;Cordeiro;19771;1;2007
3301603;Duas Barras;10718;1;2007
3301702;Duque de Caxias;826320;1;2007
3301801;Engenheiro Paulo de Frontin;12851;1;2007
3301850;Guapimirim;46281;1;2007
3301876;Iguaba Grande;19769;1;2007
3301900;Itaboraí;206806;1;2007
3302007;Itaguaí;98738;1;2007
3302056;Italva;13541;1;2007
3302106;Itaocara;22935;1;2007
3302205;Itaperuna;92547;1;2007
3302254;Itatiaia;27299;1;2007
3302270;Japeri;91030;1;2007
3302304;Laje do Muriaé;7632;1;2007
3302403;Macaé;176986;1;2007
3302452;Macuco;5132;1;2007
3302502;Magé;219561;1;2007
3302601;Mangaratiba;31913;1;2007
3302700;Maricá;106784;1;2007
3302809;Mendes;17706;1;2007
3302858;Mesquita;168259;1;2007
3302908;Miguel Pereira;24380;1;2007
3303005;Miracema;26920;1;2007
3303104;Natividade;15097;1;2007
3303203;Nilópolis;156116;1;2007
3303302;Niterói;477537;1;2007
3303401;Nova Friburgo;179002;1;2007
3303500;Nova Iguaçu;785134;1;2007
3303609;Paracambi;44683;1;2007
3303708;Paraíba do Sul;39760;1;2007
3303807;Paraty;34522;1;2007
3303856;Paty do Alferes;25850;1;2007
3303906;Petrópolis;292600;1;2007
3303955;Pinheiral;21530;1;2007
3304003;Piraí;24764;1;2007
3304102;Porciúncula;17105;1;2007
3304110;Porto Real;14858;1;2007
3304128;Quatis;12030;1;2007
3304144;Queimados;132153;1;2007
3304151;Quissamã;17652;1;2007
3304201;Resende;114210;1;2007
3304300;Rio Bonito;53427;1;2007
3304409;Rio Claro;16997;1;2007
3304508;Rio das Flores;8221;1;2007
3304524;Rio das Ostras;72982;1;2007
3304557;Rio de Janeiro;6154625;1;2007
3304607;Santa Maria Madalena;10375;1;2007
3304706;Santo Antônio de Pádua;39915;1;2007
3304805;São Fidélis;37277;1;2007
3304755;São Francisco de Itabapoana;41281;1;2007
3304904;São Gonçalo;960315;1;2007
3305000;São João da Barra;30879;1;2007
3305109;São João de Meriti;455433;1;2007
3305133;São José de Ubá;6791;1;2007
3305158;São José do Vale do Rio Preto;19905;1;2007
3305208;São Pedro da Aldeia;78332;1;2007
3305307;São Sebastião do Alto;8719;1;2007
3305406;Sapucaia;17395;1;2007
3305505;Saquarema;65759;1;2007
3305554;Seropédica;73399;1;2007
3305604;Silva Jardim;21320;1;2007
3305703;Sumidouro;14643;1;2007
3305752;Tanguá;29009;1;2007
3305802;Teresópolis;154272;1;2007
3305901;Trajano de Moraes;10200;1;2007
3306008;Três Rios;75478;1;2007
3306107;Valença;69856;1;2007
3306156;Varre-Sai;8873;1;2007
3306206;Vassouras;33345;1;2007
3306305;Volta Redonda;252183;1;2007
3300100;Angra dos Reis;150367;2;2007
3300159;Aperibé;9404;2;2007
3300209;Araruama;101048;2;2007
3300225;Areal;10878;2;2007
3300233;Armação dos Búzios;23930;2;2007
3300258;Arraial do Cabo;26340;2;2007
3300308;Barra do Piraí;92587;2;2007
3300407;Barra Mansa;175369;2;2007
3300456;Belford Roxo;457126;2;2007
3300506;Bom Jardim;24384;2;2007
3300605;Bom Jesus do Itabapoana;34801;2;2007
3300704;Cabo Frio;163387;2;2007
3300803;Cachoeiras de Macacu;52245;2;2007
3300902;Cambuci;14773;2;2007
3301009;Campos dos Goytacazes;443526;2;2007
3301108;Cantagalo;19832;2;2007
3300936;Carapebus;11529;2;2007
3301157;Cardoso Moreira;12598;2;2007
3301207;Carmo;16670;2;2007
3301306;Casimiro de Abreu;30149;2;2007
3300951;Comendador Levy Gasparian;8092;2;2007
3301405;Conceição de Macabu;20348;2;2007
3301504;Cordeiro;19786;2;2007
3301603;Duas Barras;10723;2;2007
3301702;Duque de Caxias;826996;2;2007
3301801;Engenheiro Paulo de Frontin;12860;2;2007
3301850;Guapimirim;46401;2;2007
3301876;Iguaba Grande;19839;2;2007
3301900;Itaboraí;207068;2;2007
3302007;Itaguaí;98976;2;2007
3302056;Italva;13553;2;2007
3302106;Itaocara;22934;2;2007
3302205;Itaperuna;92624;2;2007
3302254;Itatiaia;27334;2;2007
3302270;Japeri;91134;2;2007
3302304;Laje do Muriaé;7629;2;2007
3302403;Macaé;177658;2;2007
3302452;Macuco;5135;2;2007
3302502;Magé;219743;2;2007
3302601;Mangaratiba;32017;2;2007
3302700;Maricá;107247;2;2007
3302809;Mendes;17712;2;2007
3302858;Mesquita;168261;2;2007
3302908;Miguel Pereira;24387;2;2007
3303005;Miracema;26918;2;2007
3303104;Natividade;15097;2;2007
3303203;Nilópolis;156147;2;2007
3303302;Niterói;477774;2;2007
3303401;Nova Friburgo;179075;2;2007
3303500;Nova Iguaçu;785397;2;2007
3303609;Paracambi;44740;2;2007
3303708;Paraíba do Sul;39791;2;2007
3303807;Paraty;34591;2;2007
3303856;Paty do Alferes;25862;2;2007
3303906;Petrópolis;292679;2;2007
3303955;Pinheiral;21558;2;2007
3304003;Piraí;24800;2;2007
